expression	source_url
not know whether one is coming or going	https://en.wiktionary.org/wiki/not_know_whether_one_is_coming_or_going
not know whether to shit or go blind	https://en.wiktionary.org/wiki/not_know_whether_to_shit_or_go_blind
not know whether to spit or go blind	https://en.wiktionary.org/wiki/not_know_whether_to_spit_or_go_blind
not know which way to turn	https://en.wiktionary.org/wiki/not_know_which_way_to_turn
not leave one's thoughts	https://en.wiktionary.org/wiki/not_leave_one's_thoughts
not long for	https://en.wiktionary.org/wiki/not_long_for
not long for this world	https://en.wiktionary.org/wiki/not_long_for_this_world
not make any bones about	https://en.wiktionary.org/wiki/not_make_any_bones_about
not much chop	https://en.wiktionary.org/wiki/not_much_chop
not much cop	https://en.wiktionary.org/wiki/not_much_cop
not much to look at	https://en.wiktionary.org/wiki/not_much_to_look_at
not see for looking	https://en.wiktionary.org/wiki/not_see_for_looking
not see someone for dust	https://en.wiktionary.org/wiki/not_see_someone_for_dust
not see straight	https://en.wiktionary.org/wiki/not_see_straight
not the sharpest knife in the drawer	https://en.wiktionary.org/wiki/not_the_sharpest_knife_in_the_drawer
not the sharpest tool in the shed	https://en.wiktionary.org/wiki/not_the_sharpest_tool_in_the_shed
not touch with a barge pole	https://en.wiktionary.org/wiki/not_touch_with_a_barge_pole
not touch with a ten-foot pole	https://en.wiktionary.org/wiki/not_touch_with_a_ten-foot_pole
not want to do that	https://en.wiktionary.org/wiki/not_want_to_do_that
not win for losing	https://en.wiktionary.org/wiki/not_win_for_losing
not with it	https://en.wiktionary.org/wiki/not_with_it
nothing to sneeze at	https://en.wiktionary.org/wiki/nothing_to_sneeze_at
nothing to write home about	https://en.wiktionary.org/wiki/nothing_to_write_home_about
nothing ventured, nothing gained	https://en.wiktionary.org/wiki/nothing_ventured,_nothing_gained
object	https://en.wiktionary.org/wiki/object
of	https://en.wiktionary.org/wiki/of
oil painting	https://en.wiktionary.org/wiki/oil_painting
on	https://en.wiktionary.org/wiki/on
out of the ordinary	https://en.wiktionary.org/wiki/out_of_the_ordinary
per se	https://en.wiktionary.org/wiki/per_se
pink tea	https://en.wiktionary.org/wiki/pink_tea
play with a full deck	https://en.wiktionary.org/wiki/play_with_a_full_deck
pull punches	https://en.wiktionary.org/wiki/pull_punches
push one's luck	https://en.wiktionary.org/wiki/push_one's_luck
put it past	https://en.wiktionary.org/wiki/put_it_past
put one's finger on	https://en.wiktionary.org/wiki/put_one's_finger_on
put past	https://en.wiktionary.org/wiki/put_past
put stock in	https://en.wiktionary.org/wiki/put_stock_in
put the cork back in the bottle	https://en.wiktionary.org/wiki/put_the_cork_back_in_the_bottle
put the genie back in the bottle	https://en.wiktionary.org/wiki/put_the_genie_back_in_the_bottle
put the toothpaste back in the tube	https://en.wiktionary.org/wiki/put_the_toothpaste_back_in_the_tube
qualm	https://en.wiktionary.org/wiki/qualm
red cent	https://en.wiktionary.org/wiki/red_cent
rhyme or reason	https://en.wiktionary.org/wiki/rhyme_or_reason
rocket science	https://en.wiktionary.org/wiki/rocket_science
rocket scientist	https://en.wiktionary.org/wiki/rocket_scientist
